Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
296		3:30:30 a. m.	20.5		0	283	9	112	364	257	0	0	1535	177	0	25	0	244
297		4:00:30 a. m.	21		0	3051	18	282	2726	2043	0	0	4358	839	7	7	1482	847
298		4:30:30 a. m.	21.5		0	3031	273	299	2412	2729	0	0	2109	433	7	208	1263	694
299		5:00:30 a. m.	22		0	436	18	441	1308	381	0	0	795	647	242	440	1178	166
300		5:30:30 a. m.	22.5		0	195	438	840	1302	187	0	0	3545	2573	0	110	1912	544
301		6:00:30 a. m.	23		0	2216	488	1904	98	485	0	0	3777	2384	13	861	2962	1079
302		6:30:30 a. m.	23.5		0	151	111	746	1320	1195	0	0	819	3027	15	0	219	13
303		7:00:30 a. m.	0		0	323	18	195	320	578	0	0	229	1439	6	0	36	126
304		7:30:30 a. m.	0.5		0	0	168	182	45	556	0	0	240	104	33	0	1616	53
305		8:00:30 a. m.	1		0	29	0	462	833	532	0	0	1263	28	9	15	0	839
306		8:30:30 a. m.	1.5		0	121	119	83	79	11	0	0	1411	115	29	1009	21	168
307		9:00:30 a. m.	2		0	339	9	220	99	54	0	0	74	182	0	21	50	94
308		9:30:30 a. m.	2.5		0	0	103	312	122	1349	0	0	277	101	216	0	9	38
309		10:00:30 a. m.	3		0	65	28	794	132	657	0	0	793	471	0	0	49	183
310		10:30:30 a. m.	3.5		0	597	9	317	471	0	0	0	736	301	13	359	2077	79
311		11:00:30 a. m.	4		0	186	19	220	1777	134	0	0	38	129	14	0	1809	110
312		11:30:30 a. m.	4.5		0	1560	507	652	460	260	0	0	145	2743	16	6	119	1224
313		12:00:30 p. m.	5		0	335	195	422	769	629	0	0	1942	2763	9	8	754	100
314		12:30:30 p. m.	5.5		0	48	28	83	1	11	0	0	4224	2330	213	1637	1787	1639
315		1:00:30 p. m.	6		0	0	27	0	296	64	0	0	1029	769	32	0	1999	3157
316		1:30:30 p. m.	6.5		0	66	0	0	22	10	0	0	112	257	0	0	10	1875
317		2:00:30 p. m.	7		0	0	0	0	11	10	0	0	66	18	0	0	0	679
318		2:30:30 p. m.	7.5		0	66	9	0	0	0	0	0	2220	18	0	0	14	0
319		3:00:30 p. m.	8		0	0	10	0	160	155	0	0	70	316	0	8	26	0
320		3:30:30 p. m.	8.5		0	813	10	0	0	22	0	0	58	46	0	0	76	11
321		4:00:30 p. m.	9		0	0	0	0	0	1272	0	0	42	303	0	0	29	23
322		4:30:30 p. m.	9.5		0	558	0	0	0	11	0	0	133	114	0	0	120	21
323		5:00:30 p. m.	10		0	208	0	45	12	0	0	0	169	19	0	130	185	58
324		5:30:30 p. m.	10.5		0	0	0	92	0	43	0	0	192	389	0	0	27	22
325		6:00:30 p. m.	11		0	0	102	0	0	10	0	0	159	58	29	8	177	19
326		6:30:30 p. m.	11.5		0	47	289	0	487	166	0	0	47	192	0	0	35	54
327		7:00:30 p. m.	12		0	262	9	27	27	1256	0	0	2241	145	0	0	1702	2619
328		7:30:30 p. m.	12.5		0	359	0	66	24	1923	0	0	234	258	7	13	1729	2355
329		8:00:30 p. m.	13		0	28	64	878	100	2670	0	0	648	899	70	140	999	982
330		8:30:30 p. m.	13.5		0	603	1101	18	284	1590	0	0	1454	775	37	661	50	1386
331		9:00:30 p. m.	14		0	402	402	1163	430	469	0	0	1686	371	7	34	1119	2278
332		9:30:30 p. m.	14.5		0	1088	166	912	224	1928	0	0	694	878	8	347	2382	1392
333		10:00:30 p. m.	15		0	1556	28	1658	1499	2431	0	0	3950	974	186	1616	3577	3188
334		10:30:30 p. m.	15.5		0	704	138	1115	508	1047	0	0	1238	637	537	607	2462	1388
335		11:00:30 p. m.	16		0	10	56	1301	1281	2119	0	0	3918	2080	212	39	1386	64
336		11:30:30 p. m.	16.5		0	19	1114	1070	124	1520	0	0	744	1648	0	0	2756	52
337	28-ene-23	12:00:30 a. m.	17		0	122	1070	1384	1005	206	0	0	927	775	142	84	2515	905
338		12:30:30 a. m.	17.5		0	91	202	928	556	964	0	0	2723	373	759	413	1369	71
339		1:00:30 a. m.	18		0	1777	401	1285	333	1038	0	0	655	367	0	34	161	73
340		1:30:30 a. m.	18.5		0	0	37	1578	1521	2091	0	0	2691	406	6	288	1768	1420
341		2:00:30 a. m.	19		0	162	28	340	1774	3079	0	0	361	1208	15	447	3231	626
342		2:30:30 a. m.	19.5		0	833	903	733	46	3039	0	0	800	1252	419	0	3473	10
343		3:00:30 a. m.	20		0	357	92	883	123	935	0	0	874	958	572	6	2185	39
344		3:30:30 a. m.	20.5		0	37	39	1515	150	329	0	0	1381	1663	33	0	39	631
345		4:00:30 a. m.	21		0	19	204	1574	2553	3067	0	0	4844	977	13	309	1441	0
346		4:30:30 a. m.	21.5		0	215	668	278	146	883	0	0	1610	652	544	203	1985	1914
347		5:00:30 a. m.	22		0	93	84	1589	554	745	0	0	1885	1122	368	1438	2184	1619
348		5:30:30 a. m.	22.5		0	2459	148	1876	1916	1832	0	0	4136	2354	6	170	2362	12
349		6:00:30 a. m.	23		0	0	735	278	141	2174	0	0	5096	342	422	22	2579	214
350		6:30:30 a. m.	23.5		0	202	93	344	77	672	0	0	1924	9	21	6	914	40
351		7:00:30 a. m.	0		0	0	19	241	168	1083	0	0	122	77	144	0	646	9
352		7:30:30 a. m.	0.5		0	10	0	289	0	920	0	0	245	80	78	0	0	24
353		8:00:30 a. m.	1		0	0	18	169	233	443	0	0	461	266	94	0	50	136
354		8:30:30 a. m.	1.5		0	127	10	734	657	762	0	0	695	398	53	0	0	30
355		9:00:30 a. m.	2		0	0	283	183	23	2882	0	0	318	1420	123	0	176	43
356		9:30:30 a. m.	2.5		0	0	0	559	11	2657	0	0	236	88	394	443	0	44
357		10:00:30 a. m.	3		0	702	109	82	20	496	0	0	83	158	0	225	934	1277
358		10:30:30 a. m.	3.5		0	1144	10	1044	0	950	0	0	227	1450	0	0	3215	23
359		11:00:30 a. m.	4		0	0	0	367	615	646	0	0	1788	1693	0	123	869	27
360		11:30:30 a. m.	4.5		0	0	75	279	12	526	0	0	1255	36	0	0	15	87
361		12:00:30 p. m.	5		0	9	0	414	22	515	0	0	215	2889	6	7	191	38
362		12:30:30 p. m.	5.5		0	19	0	206	12	1514	0	0	127	1854	0	76	223	37
363		1:00:30 p. m.	6		0	48	8	156	22	378	0	0	100	35	0	93	84	51
364		1:30:30 p. m.	6.5		0	184	0	632	0	1763	0	0	117	8	139	37	247	66
365		2:00:30 p. m.	7		0	0	18	549	11	1023	0	0	1640	340	0	0	253	65
366		2:30:30 p. m.	7.5		0	0	10	111	76	345	0	0	599	0	0	38	1069	36
367		3:00:30 p. m.	8		0	962	0	471	22	382	0	0	99	9	0	242	19	44
368		3:30:30 p. m.	8.5		0	1670	0	326	24	244	0	0	385	169	0	0	16	1083
369		4:00:30 p. m.	9		0	64	9	46	9	744	0	0	98	59	0	0	336	361
370		4:30:30 p. m.	9.5		0	19	46	28	75	477	0	0	151	407	0	0	14	40
371		5:00:30 p. m.	10		0	181	110	356	543	765	0	0	203	1256	0	0	65	35
372		5:30:30 p. m.	10.5		0	1317	0	286	0	405	0	0	543	210	0	142	77	9
373		6:00:30 p. m.	11		0	0	10	302	0	585	0	0	2523	165	0	559	76	0
374		6:30:30 p. m.	11.5		0	0	469	398	9	611	0	0	201	185	38	0	56	752
375		7:00:30 p. m.	12		0	167	36	201	893	1860	0	0	227	115	0	99	1560	3266
376		7:30:30 p. m.	12.5		0	64	182	354	12	1116	0	0	479	405	7	30	2332	1770
377		8:00:30 p. m.	13		0	308	191	886	417	325	0	0	310	1200	0	0	496	1052
378		8:30:30 p. m.	13.5		0	2383	469	918	335	1286	0	0	697	194	600	979	1418	2812
379		9:00:30 p. m.	14		0	480	1490	1626	75	3390	0	0	3387	692	8	132	2614	2052
380		9:30:30 p. m.	14.5		0	1718	453	1566	1398	1792	0	0	661	1339	21	363	2646	993
381		10:00:30 p. m.	15		0	1592	167	1376	955	1836	0	0	2237	682	33	528	2689	1741
382		10:30:30 p. m.	15.5		0	669	0	2037	744	1854	0	0	2734	1034	21	1511	2646	1254
383		11:00:30 p. m.	16		0	20	128	1189	335	1445	0	0	3162	807	461	27	1596	1330
384		11:30:30 p. m.	16.5		0	140	100	1326	223	1996	0	0	702	212	195	0	790	2306
385	29-ene-23	12:00:30 a. m.	17		0	37	18	1066	909	2016	0	0	3562	847	26	160	1317	1655
386		12:30:30 a. m.	17.5		0	189	1283	1081	353	962	0	0	1298	740	7	183	1673	84
387		1:00:30 a. m.	18		0	1685	1629	967	374	3438	0	0	170	1257	28	0	1572	34
388		1:30:30 a. m.	18.5		0	378	10	1678	216	1872	0	0	2431	2217	658	1213	3922	286
389		2:00:30 a. m.	19		0	240	221	1823	1202	492	0	0	204	2940	491	335	3712	594
390		2:30:30 a. m.	19.5		0	36	148	168	1331	553	0	0	705	18	6	67	3634	1284
391		3:00:30 a. m.	20		0	1424	0	906	744	1048	0	0	1492	329	0	0	45	634
392		3:30:30 a. m.	20.5		0	636	8	1526	74	1679	0	0	2140	337	8	509	418	51
393		4:00:30 a. m.	21		0	86	1575	2891	838	952	0	0	1642	253	32	26	536	13
394		4:30:30 a. m.	21.5		0	74	177	162	586	1414	0	0	1145	1860	404	0	3152	236
395		5:00:30 a. m.	22		0	1238	9	532	774	2542	0	0	4184	1448	344	240	3422	244
396		5:30:30 a. m.	22.5		0	86	145	1434	92	2574	0	0	2519	823	23	1003	2039	495
397		6:00:30 a. m.	23		0	63	27	129	868	1365	0	0	3541	3338	60	552	1149	744
398		6:30:30 a. m.	23.5		0	45	473	781	11	569	0	0	218	731	15	6	3325	10
399		7:00:30 a. m.	0		0	138	55	1429	94	468	0	0	1496	1008	13	8	0	22
400		7:30:30 a. m.	0.5		0	9	0	122	11	453	0	0	45	82	15	0	35	380
401		8:00:30 a. m.	1		0	174	357	102	12	716	0	0	125	111	0	0	19	33
402		8:30:30 a. m.	1.5		0	242	0	431	11	663	0	0	1158	61	0	312	166	0
403		9:00:30 a. m.	2		0	0	9	141	1220	835	0	0	380	348	351	1653	88	149
404		9:30:30 a. m.	2.5		0	0	109	404	0	2303	0	0	54	49	29	0	3364	169
405		10:00:30 a. m.	3		0	0	9	1064	12	2217	0	0	2398	358	0	450	2679	77
406		10:30:30 a. m.	3.5		0	2285	28	241	104	585	0	0	1101	823	0	271	10	1587
407		11:00:30 a. m.	4		0	704	180	280	121	130	0	0	138	2103	0	49	9	0
408		11:30:30 a. m.	4.5		0	0	0	177	0	1029	0	0	171	312	0	439	0	22
409		12:00:30 p. m.	5		0	93	0	102	84	1201	0	0	2330	278	0	16	2414	0
410		12:30:30 p. m.	5.5		0	0	18	597	0	2449	0	0	199	135	35	9	452	52
411		1:00:30 p. m.	6		0	93	0	597	11	629	0	0	60	146	0	0	10	22
412		1:30:30 p. m.	6.5		0	58	175	190	0	707	0	0	119	184	0	7	17	32
413		2:00:30 p. m.	7		0	19	9	327	21	188	0	0	47	49	45	0	40	51
414		2:30:30 p. m.	7.5		0	0	0	743	22	296	0	0	514	146	32	0	56	682
415		3:00:30 p. m.	8		0	0	9	149	11	328	0	0	1511	239	8	6	9	150
416		3:30:30 p. m.	8.5		0	76	0	0	31	0	0	0	67	912	34	120	117	12
417		4:00:30 p. m.	9		0	19	18	93	0	0	0	0	107	55	44	0	598	10
418		4:30:30 p. m.	9.5		0	318	19	47	314	0	0	0	142	32	137	8	270	11
419		5:00:30 p. m.	10		0	78	0	138	0	0	0	0	36	103	84	0	34	0
420		5:30:30 p. m.	10.5		0	85	28	223	11	0	0	0	264	255	0	90	29	84
421		6:00:30 p. m.	11		0	338	9	597	4	4	0	0	2004	704	0	0	110	501
422		6:30:30 p. m.	11.5		0	757	137	543	72	0	0	0	161	201	0	105	173	52
423		7:00:30 p. m.	12		0	821	9	130	363	178	0	0	540	89	6	452	725	25
424		7:30:30 p. m.	12.5		0	521	29	471	1097	219	0	0	245	643	0	58	1100	11
425		8:00:30 p. m.	13		0	1721	47	506	27	13	0	0	518	307	86	35	1253	610
426		8:30:30 p. m.	13.5		0	1279	146	1179	195	82	0	0	1253	991	88	106	1113	229
427		9:00:30 p. m.	14		0	493	1304	1344	325	380	0	0	1574	591	0	324	745	2289
428		9:30:30 p. m.	14.5		0	2265	2643	1624	2332	116	0	0	4251	466	36	8	1647	1480
429		10:00:30 p. m.	15		0	1684	275	2020	2071	454	0	0	2717	931	24	1305	2408	412
430		10:30:30 p. m.	15.5		0	957	54	917	3485	1703	0	0	4382	1099	878	472	2809	251
431		11:00:30 p. m.	16		0	36	156	1412	597	1481	0	0	3854	1234	237	36	939	434
432		11:30:30 p. m.	16.5		0	38	406	650	1068	46	0	0	2688	474	50	168	1268	263
433	30-ene-23	12:00:30 a. m.	17		0	151	1918	1067	929	251	0	0	2554	672	200	14	1430	1334
434		12:30:30 a. m.	17.5		0	357	1364	636	211	678	0	0	3677	1344	87	85	1908	35
435		1:00:30 a. m.	18		0	0	543	745	454	225	0	0	1867	2676	29	1096	2032	26
436		1:30:30 a. m.	18.5		0	1397	0	620	63	1421	0	0	1341	1771	14	581	2554	11
437		2:00:30 a. m.	19		0	853	9	2410	2673	842	0	0	1594	299	978	57	3001	859
438		2:30:30 a. m.	19.5		0	38	19	2051	403	315	0	0	3315	303	448	154	3839	1915
439		3:00:30 a. m.	20		0	212	602	1493	105	265	0	0	366	363	39	150	306	33
440		3:30:30 a. m.	20.5		0	65	92	111	3860	798	0	0	908	232	14	8	106	16
441		4:00:30 a. m.	21		0	693	132	367	1037	500	0	0	757	1373	1034	23	1565	2327
442		4:30:30 a. m.	21.5		0	334	848	942	66	144	0	0	3260	1668	27	736	3264	655
443		5:00:30 a. m.	22		0	113	532	2303	633	1250	0	0	4444	474	0	740	3735	50
444		5:30:30 a. m.	22.5		0	731	56	1109	1344	41	0	0	1337	2128	302	361	2478	902
445		6:00:30 a. m.	23		0	0	55	642	44	3860	0	0	2794	307	488	9	2056	153
446		6:30:30 a. m.	23.5		0	622	531	1011	187	1517	0	0	3314	906	13	6	565	101
447		7:00:30 a. m.	0		0	0	93	142	92	764	0	0	743	2083	15	172	1030	32
448		7:30:30 a. m.	0.5		0	0	0	75	52	687	0	0	543	142	42	0	49	659
449		8:00:30 a. m.	1		0	37	0	83	0	1389	0	0	105	71	0	419	40	77
450		8:30:30 a. m.	1.5		0	19	214	1290	125	475	0	0	155	371	190	0	30	43
451		9:00:30 a. m.	2		0	34	18	129	50	518	0	0	141	258	92	7	187	39
452		9:30:30 a. m.	2.5		0	2810	9	151	11	2281	0	0	956	491	575	390	55	975
453		10:00:30 a. m.	3		0	1201	19	148	1037	1854	0	0	2849	400	0	0	939	21
454		10:30:30 a. m.	3.5		0	1304	8	318	10	345	0	0	99	2460	26	55	3028	10
455		11:00:30 a. m.	4		0	422	176	195	0	981	0	0	217	1382	240	0	776	48
456		11:30:30 a. m.	4.5		0	1233	221	1251	284	2502	0	0	2128	918	69	0	1621	438
457		12:00:30 p. m.	5		0	1452	249	414	1242	1446	0	0	2907	2989	64	323	3019	2479
458		12:30:30 p. m.	5.5		0	1386	9	0	96	363	0	0	162	400	0	0	1386	1915
459		1:00:30 p. m.	6		0	245	0	0	11	494	0	0	346	452	0	7	1327	1633
460		1:30:30 p. m.	6.5		0	201	203	0	45	280	0	0	87	106	0	0	20	1220
461		2:00:30 p. m.	7		0	103	18	82	87	387	0	0	94	253	0	0	15	947
462		2:30:30 p. m.	7.5		0	410	0	328	0	581	0	0	356	123	0	1137	10	790
463		3:00:30 p. m.	8		0	573	178	0	12	272	0	0	414	9	143	0	20	782
464		3:30:30 p. m.	8.5		0	276	0	0	1	1	0	0	150	1648	0	0	24	518
465		4:00:30 p. m.	9		0	455	0	0	22	0	0	0	152	33	0	0	293	741
466		4:30:30 p. m.	9.5		0	190	48	0	0	21	0	0	1262	82	0	0	341	1027
467		5:00:30 p. m.	10		0	506	93	0	11	1	0	0	118	222	0	0	28	1024
468		5:30:30 p. m.	10.5		0	105	0	0	0	0	0	0	119	134	8	0	37	748
469		6:00:30 p. m.	11		0	847	422	429	451	50	0	0	83	356	0	0	58	1064
470		6:30:30 p. m.	11.5		0	470	633	367	410	212	0	0	1982	944	76	805	1867	898
471		7:00:30 p. m.	12		0	574	262	280	301	112	0	0	922	255	44	877	1218	2608
472		7:30:30 p. m.	12.5		0	1202	48	442	138	229	0	0	550	399	61	1019	320	678
473		8:00:30 p. m.	13		0	716	1149	605	279	100	0	0	354	95	0	250	891	963
474		8:30:30 p. m.	13.5		0	219	1743	1310	2204	20	0	0	1090	484	0	652	514	1493
475		9:00:30 p. m.	14		0	1135	37	1306	288	38	0	0	929	503	103	676	1344	1700
476		9:30:30 p. m.	14.5		0	1870	19	1136	392	174	0	0	979	947	6	958	1988	3139
477		10:00:30 p. m.	15		0	2200	247	1357	3156	717	0	0	1966	1494	218	850	2110	2630
478		10:30:30 p. m.	15.5		0	1276	39	960	871	1116	0	0	2023	518	605	1294	2488	2882
479		11:00:30 p. m.	16		0	396	83	1325	2192	477	0	0	2773	454	332	621	1948	1131
480		11:30:30 p. m.	16.5		0	1482	165	1542	571	11	0	0	1663	632	90	13	1075	1830
481	31-ene-23	12:00:30 a. m.	17		0	1018	1456	754	1011	454	0	0	3339	343	90	51	2136	1427
482		12:30:30 a. m.	17.5		0	476	476	872	634	129	0	0	627	353	176	110	373	1843
483		1:00:30 a. m.	18		0	900	66	1011	1604	364	0	0	911	170	866	6	2457	2194
484		1:30:30 a. m.	18.5		0	2626	18	1784	2088	384	0	0	1481	565	113	1091	2866	3719
485		2:00:30 a. m.	19		0	2520	680	1316	2249	1586	0	0	2867	1452	14	1262	1975	707
486		2:30:30 a. m.	19.5		0	209	1561	1133	131	1378	0	0	3618	770	72	0	1617	898
487		3:00:30 a. m.	20		0	369	94	1218	1562	532	0	0	784	1572	24	7	1941	1626
488		3:30:30 a. m.	20.5		0	568	54	1933	2268	1181	0	0	490	325	329	95	2606	3115
489		4:00:30 a. m.	21		0	1975	38	1783	2433	1897	0	0	3961	3201	1211	386	3317	1912
490		4:30:30 a. m.	21.5		0	1537	166	507	165	1504	0	0	1185	234	65	0	349	2785
491		5:00:30 a. m.	22		0	1310	1301	585	1056	1481	0	0	3426	1184	276	1298	1590	1966
492		5:30:30 a. m.	22.5		0	939	72	1550	3413	613	0	0	2150	1958	97	292	385	3129
493		6:00:30 a. m.	23		0	1491	433	541	918	860	0	0	3922	867	0	224	1137	1410
494		6:30:30 a. m.	23.5		0	517	91	1264	46	767	0	0	934	1520	183	428	2181	3341
495		7:00:30 a. m.	0		0	408	0	320	152	555	0	0	137	1769	1539	177	1953	1490
496		7:30:30 a. m.	0.5		0	277	376	424	129	527	0	0	625	0	122	0	0	1730
497		8:00:30 a. m.	1		0	251	0	199	227	449	0	0	70	9	80	256	0	0
498		8:30:30 a. m.	1.5		0	557	0	260	43	774	0	0	1346	0	187	0	243	62
499		9:00:30 a. m.	2		0	275	27	526	808	982	0	0	183	195	60	0	237	265
500		9:30:30 a. m.	2.5		0	284	0	1049	999	1673	0	0	84	330	141	0	0	1861
501		10:00:30 a. m.	3		0	2020	66	355	45	1200	0	0	2208	460	1382	19	2263	1603
502		10:30:30 a. m.	3.5		0	1040	205	431	1206	583	0	0	2955	353	750	0	645	1507
503		11:00:30 a. m.	4		0	319	0	84	17	426	0	0	349	281	113	0	41	943
504		11:30:30 a. m.	4.5		0	291	0	389	32	509	0	0	73	392	0	0	54	2500
505		12:00:30 p. m.	5		0	189	0	256	44	565	0	0	572	1849	0	0	84	826
506		12:30:30 p. m.	5.5		0	346	19	371	12	449	0	0	156	618	612	0	478	913
507		1:00:30 p. m.	6		0	1704	122	1292	138	551	0	0	500	18	86	1470	47	2196
508		1:30:30 p. m.	6.5		0	435	241	1060	763	1679	0	0	1110	85	161	0	61	826
509		2:00:30 p. m.	7		0	134	0	623	3538	616	0	0	1500	652	158	316	2598	2172
510		2:30:30 p. m.	7.5		0	170	9	0	376	1	0	0	5214	3594	252	902	1935	1661
511		3:00:30 p. m.	8		0	123	18	10	91	9	0	0	3967	3870	152	2082	4130	1625
512		3:30:30 p. m.	8.5		0	1164	9	36	0	0	0	0	680	578	0	0	3354	97
513		4:00:30 p. m.	9		0	132	194	443	648	223	0	0	212	513	0	32	140	63
514		4:30:30 p. m.	9.5		0	58	65	28	254	2072	0	0	2798	1042	122	444	2123	2051
515		5:00:30 p. m.	10		0	66	0	0	41	728	0	0	799	80	15	0	1277	859
516		5:30:30 p. m.	10.5		0	19	0	0	157	1263	0	0	155	0	44	0	66	23
517		6:00:30 p. m.	11		0	10	0	0	125	248	0	0	61	208	16	12	0	78
518		6:30:30 p. m.	11.5		0	18	0	0	21	123	0	0	78	507	36	63	175	1015
519		7:00:30 p. m.	12		0	58	483	37	538	486	0	0	2328	529	660	995	1514	218
520		7:30:30 p. m.	12.5		0	1287	0	428	257	214	0	0	579	1417	6	15	542	287
521		8:00:30 p. m.	13		0	20	1106	184	2863	429	0	0	244	145	0	7	1203	167
522		8:30:30 p. m.	13.5		0	139	167	0	236	880	0	0	3144	442	214	0	254	226
523		9:00:30 p. m.	14		0	991	619	722	515	2461	0	0	192	1509	0	496	2377	1377
524		9:30:30 p. m.	14.5		0	523	92	325	1095	1298	0	0	534	1106	0	614	358	116
525		10:00:30 p. m.	15		0	1804	19	217	2053	695	0	0	939	1158	408	1110	2970	776
526		10:30:30 p. m.	15.5		0	2565	287	1196	864	1551	0	0	1460	808	364	1035	3450	1438
527		11:00:30 p. m.	16		0	508	56	611	2091	3024	0	0	3292	1946	105	0	2934	274
528		11:30:30 p. m.	16.5		0	1346	9	765	3036	1602	0	0	842	2152	60	7	683	731
529	01-feb-23	12:00:30 a. m.	17		0	1424	428	248	399	519	0	0	1654	531	140	14	210	1478
530		12:30:30 a. m.	17.5		0	548	185	178	2572	347	0	0	1281	1597	716	6	741	378
531		1:00:30 a. m.	18		0	503	19	814	1179	911	0	0	3606	895	330	411	349	216
532		1:30:30 a. m.	18.5		0	2141	581	683	131	2932	0	0	1179	2727	38	484	1820	356
533		2:00:30 a. m.	19		0	838	315	256	517	1749	0	0	260	3026	55	709	2942	1667
534		2:30:30 a. m.	19.5		0	1506	849	342	2806	2238	0	0	584	18	544	0	3170	674
535		3:00:30 a. m.	20		0	2189	47	172	3266	307	0	0	525	9	330	47	3476	175
536		3:30:30 a. m.	20.5		0	693	9	256	297	512	0	0	1590	154	190	8	689	217
537		4:00:30 a. m.	21		0	1072	0	239	78	743	0	0	694	294	476	74	138	2055
538		4:30:30 a. m.	21.5		0	1720	128	1482	1663	554	0	0	3676	757	7	215	640	2602
539		5:00:30 a. m.	22		0	1982	0	317	4651	3215	0	0	3854	2473	14	763	1024	254
540		5:30:30 a. m.	22.5		0	674	366	47	2388	202	0	0	2119	2807	277	14	1742	265
541		6:00:30 a. m.	23		0	1706	148	273	55	1498	0	0	3215	2694	201	82	2060	2092
542		6:30:30 a. m.	23.5		0	860	639	0	119	638	0	0	457	1467	0	0	405	193
543		7:00:30 a. m.	0		0	378	9	0	575	649	0	0	1325	1728	0	79	275	214
544		7:30:30 a. m.	0.5		0	335	0	276	64	268	0	0	127	271	0	0	10	143
545		8:00:30 a. m.	1		0	542	0	0	88	666	0	0	50	400	0	44	0	592
546		8:30:30 a. m.	1.5		0	240	0	0	291	546	0	0	524	487	681	66	217	309
547		9:00:30 a. m.	2		0	291	0	36	65	356	0	0	466	481	0	0	179	41
548		9:30:30 a. m.	2.5		0	1901	9	9	221	1684	0	0	111	1024	0	44	1778	412
549		10:00:30 a. m.	3		0	1187	0	0	419	990	0	0	330	1619	8	69	1918	53
550		10:30:30 a. m.	3.5		0	189	19	966	210	130	0	0	73	18	0	124	269	413
551		11:00:30 a. m.	4		0	414	9	0	22	420	0	0	741	1175	0	0	86	125
552		11:30:30 a. m.	4.5		0	899	1095	397	263	1219	0	0	225	296	14	0	114	86
553		12:00:30 p. m.	5		0	67	166	10	1585	2885	0	0	2835	1934	129	88	1879	237
554		12:30:30 p. m.	5.5		0	9	388	0	11	383	0	0	3311	3679	0	340	2692	1871
555		1:00:30 p. m.	6		0	67	0	10	0	446	0	0	322	710	0	0	1197	1537
556		1:30:30 p. m.	6.5		0	633	9	264	69	395	0	0	47	146	0	0	9	320
557		2:00:30 p. m.	7		0	493	598	0	11	582	0	0	188	302	0	0	112	129
558		2:30:30 p. m.	7.5		0	192	9	0	148	341	0	0	261	227	0	0	90	63
559		3:00:30 p. m.	8		0	179	0	408	111	639	0	0	94	592	0	8	261	82
560		3:30:30 p. m.	8.5		0	392	0	0	12	249	0	0	43	626	0	0	264	21
561		4:00:30 p. m.	9		0	272	422	246	614	2940	0	0	2789	1769	162	179	907	1364
562		4:30:30 p. m.	9.5		0	94	0	0	11	622	0	0	866	82	0	7	480	863
563		5:00:30 p. m.	10		0	284	0	0	11	169	0	0	175	519	0	157	9	436
564		5:30:30 p. m.	10.5		0	149	457	10	0	231	0	0	615	372	0	0	265	271
565		6:00:30 p. m.	11		0	133	0	0	22	233	0	0	205	197	37	0	504	502
566		6:30:30 p. m.	11.5		0	151	275	103	0	89	0	0	252	208	0	0	108	419
567		7:00:30 p. m.	12		0	895	18	672	1460	857	0	0	2740	2417	0	0	1531	1046
568		7:30:30 p. m.	12.5		0	1440	1211	150	455	2032	0	0	335	1213	0	0	2308	69
569		8:00:30 p. m.	13		0	57	9	290	31	1075	0	0	945	718	367	325	1684	64
570		8:30:30 p. m.	13.5		0	555	10	158	155	336	0	0	1644	148	6	155	296	282
571		9:00:30 p. m.	14		0	1032	553	446	671	656	0	0	1668	695	27	599	894	228
572		9:30:30 p. m.	14.5		0	2048	92	906	284	1402	0	0	439	1303	141	209	2264	368
573		10:00:30 p. m.	15		0	1612	10	1098	1334	2094	0	0	937	612	19	245	1690	283
574		10:30:30 p. m.	15.5		0	1959	742	915	2463	1643	0	0	2502	993	509	600	3515	2038
575		11:00:30 p. m.	16		0	343	0	833	403	1958	0	0	2285	2415	13	165	2201	200
576		11:30:30 p. m.	16.5		0	562	57	1354	220	2071	0	0	3669	2953	499	0	3424	1771
577	02-feb-23	12:00:30 a. m.	17		0	1040	774	978	457	2359	0	0	3092	1793	97	0	441	116
578		12:30:30 a. m.	17.5		0	988	261	718	682	621	0	0	2591	446	120	33	83	74
579		1:00:30 a. m.	18		0	1252	0	1042	2245	1341	0	0	1488	303	384	59	335	621
580		1:30:30 a. m.	18.5		0	1588	91	945	202	537	0	0	3972	395	360	448	975	1722
581		2:00:30 a. m.	19		0	1006	111	581	692	2800	0	0	1717	1106	151	577	3271	186
582		2:30:30 a. m.	19.5		0	870	470	1799	1431	3356	0	0	766	2186	522	223	2673	124
583		3:00:30 a. m.	20		0	1382	306	775	2475	1728	0	0	1040	335	189	0	3316	1292
584		3:30:30 a. m.	20.5		0	1308	73	368	1444	414	0	0	1549	2069	8	0	2293	1341
585		4:00:30 a. m.	21		0	2981	19	216	0	1053	0	0	2986	2920	13	338	1198	95
586		4:30:30 a. m.	21.5		0	510	407	1105	362	3467	0	0	2471	378	492	88	68	341
587		5:00:30 a. m.	22		0	957	138	66	2482	514	0	0	3875	794	432	0	249	1259
588		5:30:30 a. m.	22.5		0	1405	0	563	795	1573	0	0	3392	896	6	328	1348	435
589		6:00:30 a. m.	23		0	1113	260	104	33	1535	0	0	700	1901	47	108	1701	85
590		6:30:30 a. m.	23.5		0	1371	28	638	434	1375	0	0	1598	1769	6	0	1812	424
591		7:00:30 a. m.	0		0	298	10	39	55	551	0	0	893	1576	478	0	1524	129
592		7:30:30 a. m.	0.5		0	209	0	10	13	653	0	0	434	381	0	0	226	343
