Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
69		10:00:30 a. m.	3		0	48	0	55	0	529	0	0	141	465	15	377	34	865
70		10:30:30 a. m.	3.5		0	92	0	0	0	2639	0	0	11	0	100	0	32	988
71		11:00:30 a. m.	4		0	10	0	9	0	788	0	0	150	0	38	0	10	1130
72		11:30:30 a. m.	4.5		0	10	0	18	0	200	0	0	31	60	44	0	10	1429
73		12:00:30 p. m.	5		0	9	0	65	0	126	0	0	340	0	71	0	19	2571
74		12:30:30 p. m.	5.5		0	49	10	9	0	104	0	0	39	667	97	106	637	834
75		1:00:30 p. m.	6		0	1027	0	0	0	346	0	0	11	0	404	0	0	1117
76		1:30:30 p. m.	6.5		0	365	0	0	0	74	0	0	1846	0	22	0	362	1286
77		2:00:30 p. m.	7		0	0	0	0	0	212	0	0	293	0	32	0	393	1405
78		2:30:30 p. m.	7.5		0	38	9	9	0	460	0	0	0	33	33	136	0	917
79		3:00:30 p. m.	8		0	10	0	0	0	219	0	0	93	20	21	129	0	1267
80		3:30:30 p. m.	8.5		0	458	0	402	0	773	0	0	11	0	37	0	0	979
81		4:00:30 p. m.	9		0	0	0	358	0	95	0	0	84	9	61	0	243	2379
82		4:30:30 p. m.	9.5		0	155	8	0	0	83	0	0	0	224	246	53	61	3105
83		5:00:30 p. m.	10		0	3013	307	9	0	216	0	0	93	0	210	60	10	1012
84		5:30:30 p. m.	10.5		0	462	10	0	0	129	0	0	11	220	353	0	1306	574
85		6:00:30 p. m.	11		0	0	0	19	0	292	0	0	184	0	49	70	896	1113
86		6:30:30 p. m.	11.5		0	0	10	855	0	613	0	0	1500	71	122	0	381	1464
87		7:00:30 p. m.	12		0	0	103	0	0	1018	0	0	32	2032	274	869	578	3699
88		7:30:30 p. m.	12.5		0	296	92	38	0	414	0	0	30	402	247	139	369	3312
89		8:00:30 p. m.	13		0	607	2173	1960	0	2014	0	0	677	216	684	17	410	1712
90		8:30:30 p. m.	13.5		0	1707	1365	848	0	902	0	0	1068	697	348	66	1550	1769
91		9:00:30 p. m.	14		0	1112	0	1124	0	1561	0	0	5123	836	666	1127	2136	3399
92		9:30:30 p. m.	14.5		0	137	66	254	0	1946	0	0	2411	252	637	552	3083	1141
93		10:00:30 p. m.	15		0	1139	56	2831	0	1114	0	0	1944	1850	228	29	1045	1801
94		10:30:30 p. m.	15.5		0	83	0	415	0	926	0	0	2400	364	324	0	1745	327
95		11:00:30 p. m.	16		0	0	64	28	0	2664	0	0	245	667	892	653	121	1099
96		11:30:30 p. m.	16.5		0	0	148	66	0	190	0	0	47	9	122	376	475	1273
97	23-ene-23	12:00:30 a. m.	17		0	0	74	74	0	1079	0	0	538	26	600	14	185	2458
98		12:30:30 a. m.	17.5		0	250	0	1196	0	1033	0	0	36	472	326	404	253	2920
99		1:00:30 a. m.	18		0	1893	1902	2473	0	1004	0	0	169	1271	927	110	2397	368
100		1:30:30 a. m.	18.5		0	1174	541	0	0	113	0	0	540	1720	126	59	3798	1051
101		2:00:30 a. m.	19		0	0	0	9	0	0	0	0	0	1707	0	0	2317	1838
102		2:30:30 a. m.	19.5		0	0	0	19	0	84	0	0	741	1728	0	93	0	2977
103		3:00:30 a. m.	20		0	0	0	0	0	11	0	0	3586	2074	54	1019	0	589
104		3:30:30 a. m.	20.5		0	0	127	9	0	801	0	0	1393	234	17	157	148	1263
105		4:00:30 a. m.	21		0	36	91	1175	0	1504	0	0	1133	0	65	17	79	2217
